,company,symbol,industry,offer_date,shares (millions),offer price,1st day close,current price,return,scoop rating,date_type,source,lead managers,price low,price high,est. $ volume,expected to trade,rating change,offer date,expected trade weekday,market_cap_offered
40,OTR Acquisition Corp.,OTRAU,,2020-11-17,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$100,000,000"
41,Dragoneer Growth Opportunities Corp. II,DGNS,,2020-11-17,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$240,000,000"
42,Zanite Acquisition Corp.,ZNTEU,,2020-11-17,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
43,Consonance-HFW Acquisition Corp.,CHFWU,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$80,000,000"
44,"dMY Technology Group, Inc. III",DMYIU,,2020-11-13,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$275,000,000"
45,CF Finance Acquisition Corp. III,CFACU,,2020-11-13,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
46,Better World Acquisition Corp.,BWACU,,2020-11-13,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$110,000,000"
47,Natural Order Acquisition Corp.,NOACU,,2020-11-11,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
48,Northern Star Acquisition Corp.,STICU,,2020-11-11,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$250,000,000"
49,TS Innovation Acquisitions Corp.,TSIAU,,2020-11-10,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$300,000,000"
50,Edoc Acquisition Corp.,ADOCU,,2020-11-10,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$90,000,000"
51,Health Assurance Acquisition Corp.,HAACU,,2020-11-13,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$500,000,000"
52,SPRING VALLEY ACQUISITION CORP.,SVSVU,,2020-11-24,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
53,Jiya Acquisition Corp.,JYAC,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$100,000,000"
54,TELOS CORP,TLS,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$254,470,603"
55,HF Enterprises Inc.,HFEN,,2020-11-24,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$15,120,000"
56,Genesis Park Acquisition Corp.,GNPKU,,2020-11-24,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$150,000,000"
57,Breeze Holdings Acquisition Corp.,BREZU,,2020-11-23,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$100,000,000"
58,Aequi Acquisition Corp.,ARBGU,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
59,Cascade Acquisition Corp,CAS'U,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
60,Kingswood Acquisition Corp.,KWACU,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$100,000,000"
61,Investindustrial Acquisition Corp.,IIACU,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$350,000,000"
62,Sotera Health Co,SHC,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$1,071,800,000"
63,Lifesci Acquisition II Corp.,LSAQ,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$75,000,000"
64,"MARAVAI LIFESCIENCES HOLDINGS, INC.",MRVI,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$1,620,000,000"
65,NeoGames S.A.,NGMS,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$81,727,874"
66,"Olema Pharmaceuticals, Inc.",OLMA,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$209,000,000"
67,L&F Acquisition Corp.,LNFAU,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$150,000,000"
68,Reinvent Technology Partners Z,RTPZU,,2020-11-19,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
69,Omnichannel Acquisition Corp.,OCA'U,,2020-11-20,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$200,000,000"
70,Roman DBDR Tech Acquisition Corp.,DBDRU,,2020-11-06,,,,,,,Confirmed,Nasdaq,,,,,,,,,"$220,000,000"
71,"Sumo Logic, Inc.",SUMO,Technology,2020-09-17,14.8,$22.00,$26.88,$25.64,16.55%,S/O,Confirmed,IPO Scoop,,,,,,,,,
72,Broadstone Net Lease,BNL,Financials,2020-09-17,33.5,$17.00,$16.11,$17.94,5.53%,S/O,Confirmed,IPO Scoop,,,,,,,,,
73,Abcam plc,ABCM,Health Care,2020-10-22,9.0,$17.50,$19.75,$19.03,8.74%,S/O,Confirmed,IPO Scoop,,,,,,,,,
74,BCLS Acquisition Corp.,BLSA,Blank Check,2020-10-22,12.5,$10.00,$10.18,$10.50,5.00%,S/O,Confirmed,IPO Scoop,,,,,,,,,
75,Guild Holdings Company,GHLD,Financials,2020-10-22,6.5,$15.00,$15.00,$14.58,-2.80%,S/O,Confirmed,IPO Scoop,,,,,,,,,
76,McAfee Corp.,MCFE,Technology,2020-10-22,37.0,$20.00,$18.70,$16.88,-15.60%,S/O,Confirmed,IPO Scoop,,,,,,,,,
77,Datto Holding Corp.,MSP,Technology,2020-10-21,22.0,$27.00,$27.10,$27.86,3.19%,S/O,Confirmed,IPO Scoop,,,,,,,,,
78,MingZhu Logistics Holdings,YGMZ,Consumer Services,2020-10-21,3.0,$4.00,$4.25,$4.17,4.25%,S/O,Confirmed,IPO Scoop,,,,,,,,,
79,Foghorn Therapeutics Inc.,FHTX,Health Care,2020-10-23,7.5,$16.00,$18.12,$20.95,30.94%,S/O,Confirmed,IPO Scoop,,,,,,,,,
80,HELIX ACQUISITION CORP.,HLXA,Blank Check,2020-10-20,10.0,$10.00,$10.49,$10.67,6.70%,S/O,Confirmed,IPO Scoop,,,,,,,,,
81,"Eargo, Inc.",EAR,Health Care,2020-10-16,7.9,$18.00,$33.68,$49.75,176.39%,S/O,Confirmed,IPO Scoop,,,,,,,,,
82,Kiromic Biopharma,KRBP,Health Care,2020-10-16,1.3,$12.00,$11.50,$8.11,-32.42%,S/O,Confirmed,IPO Scoop,,,,,,,,,
83,"PRAXIS PRECISION MEDICINES, INC.",PRAX,Health Care,2020-10-16,10.0,$19.00,$27.80,$40.86,115.05%,S/O,Confirmed,IPO Scoop,,,,,,,,,
84,"TARSUS PHARMACEUTICALS, INC.",TARS,Health Care,2020-10-16,5.5,$16.00,$20.58,$22.38,39.88%,S/O,Confirmed,IPO Scoop,,,,,,,,,
85,"ARRAY TECHNOLOGIES, INC.",ARRY,Industrials,2020-10-15,47.5,$22.00,$36.45,$47.11,114.14%,S/O,Confirmed,IPO Scoop,,,,,,,,,
